iter	Passed	Remaining
609	46685	718654
610	46779	718838
611	46860	718828
612	46945	718881
613	47048	719220
614	47126	719158
615	47220	719341
616	47316	719560
617	47385	719367
618	47448	719087
619	47512	718823
620	47576	718557
621	47671	718746
622	47727	718360
623	47807	718339
624	47898	718478
625	48003	718819
626	48092	718926
627	48152	718607
628	48217	718361
629	48276	718011
630	48335	717682
631	48394	717340
632	48492	717586
633	48576	717615
634	48639	717338
635	48702	717052
636	48802	717321
637	48885	717344
638	48945	717028
639	49005	716709
640	49076	716554
641	49140	716286
642	49214	716169
643	49274	715851
644	49335	715555
645	49394	715232
646	49464	715062
647	49527	714789
648	49584	714429
649	49645	714135
650	49710	713888
651	49786	713806
652	49859	713692
653	49924	713441
654	49991	713233
655	50056	713000
656	50135	712959
657	50200	712718
658	50290	712837
659	50359	712668
660	50433	712550
661	50505	712416
662	50585	712386
663	50661	712312
664	50726	712076
665	50782	711713
666	50860	711671
667	50924	711419
668	50984	711111
669	51044	710818
670	51105	710527
671	51164	710214
672	51220	709856
673	51301	709849
674	51401	710108
675	51495	710266
676	51576	710260
677	51688	710674
678	51780	710824
679	51891	711221
680	51963	711084
681	52022	710775
682	52088	710558
683	52158	710396
684	52214	710045
685	52281	709834
686	52345	709600
687	52428	709613
688	52491	709353
689	52558	709159
690	52621	708905
691	52685	708662
692	52755	708506
693	52820	708280
694	52883	708027
695	52950	707834
696	53021	707690
697	53089	707508
698	53165	707423
699	53231	707218
700	53305	707110
701	53380	707031
702	53446	706820
703	53514	706632
704	53581	706434
705	53637	706104
706	53711	705997
707	53783	705867
708	53859	705789
709	53934	705710
710	54019	705750
711	54076	705429
712	54166	705530
713	54241	705449
714	54351	705813
715	54430	705776
716	54502	705643
717	54576	705541
718	54676	705774
719	54769	705917
720	54869	706146
721	54955	706199
722	55020	705983
723	55085	705764
724	55167	705759
725	55229	705507
726	55300	705372
727	55359	705070
728	55423	704838
729	55486	704604
730	55556	704444
731	55621	704241
732	55683	703986
733	55756	703866
734	55822	703662
735	55899	703607
736	56005	703905
737	56088	703913
738	56200	704298
739	56300	704519
740	56377	704457
741	56463	704496
742	56537	704402
743	56606	704231
744	56676	704080
745	56767	704188
746	56821	703847
747	56869	703418
748	56927	703119
749	57006	703078
750	57081	702997
751	57123	702501
752	57165	702007
753	57205	701493
754	57256	701104
755	57299	700633
756	57375	700553
757	57446	700420
758	57511	700214
759	57598	700280
760	57670	700152
761	57746	700078
762	57822	700005
763	57897	699925
764	57991	700062
765	58058	699883
766	58129	699754
767	58202	699638
768	58272	699495
769	58346	699406
770	58445	699602
771	58533	699669
772	58612	699633
773	58728	700040
774	58811	700042
775	58916	700313
776	59007	700425
777	59091	700442
778	59172	700423
779	59242	700277
780	59321	700236
781	59406	700269
782	59476	700119
783	59555	700086
784	59629	699979
785	59716	700032
786	59815	700232
787	59886	700094
788	59948	699856
789	60032	699875
790	60099	699694
791	60170	699557
792	60235	699355
793	60304	699195
794	60382	699145
795	60448	698949
796	60508	698695
797	60576	698527
798	60650	698428
799	60718	698266
800	60793	698174
801	60870	698113
802	60934	697898
803	61001	697724
804	61069	697553
805	61136	697377
806	61215	697337
807	61281	697151
808	61361	697118
